# What our producers emit, and what is done with it.
#
# One line per key path a recorded document contains, with the type found at
# it. "read" means the reader acts on it; "skipped" means it has been seen and
# deliberately left alone.
#
# A path in a document and not in this list fails the test. That is the point:
# a field nobody reads because it was never noticed and one nobody reads
# because it was considered look the same in the code, and only one of them is
# a decision.
#
# Add newly seen paths with: go test ./internal/sbom -update
skipped components[].hashes[].content:string
read components[].licenses[].expression:string
read components[].licenses[].license.id:string
read components[].licenses[].license.name:string
skipped components[].licenses[].license.url:string
read components[].name:string
skipped components[].pedigree.ancestors[].externalReferences[].comment:string
skipped components[].pedigree.ancestors[].externalReferences[].hashes[].alg:string
skipped components[].pedigree.ancestors[].externalReferences[].hashes[].content:string
skipped components[].pedigree.ancestors[].externalReferences[].type:string
skipped components[].pedigree.ancestors[].externalReferences[].url:string
read components[].pedigree.ancestors[].name:string
skipped components[].pedigree.ancestors[].purl:string
skipped components[].pedigree.ancestors[].type:string
read components[].pedigree.ancestors[].version:string
skipped components[].pedigree.notes:string
skipped components[].pedigree.patches[].diff.hashes[].alg:string
skipped components[].pedigree.patches[].diff.hashes[].content:string
read components[].pedigree.patches[].diff.url:string
read components[].pedigree.patches[].resolves[].id:string
skipped components[].pedigree.patches[].resolves[].references[]:string
read components[].pedigree.patches[].resolves[].type:string
skipped components[].pedigree.patches[].type:string
skipped components[].properties[].name:string
skipped components[].properties[].value:string
read components[].publisher:string
read components[].purl:string
skipped components[].scope:string
read components[].supplier.name:string
skipped components[].swid.name:string
skipped components[].swid.tagId:string
skipped components[].swid.version:string
skipped components[].type:string
read components[].version:string
skipped creationInfo.comment:string
read creationInfo.created:string
skipped creationInfo.creators[]:string
skipped creationInfo.licenseListVersion:string
skipped dataLicense:string
read dependencies[].dependsOn[]:string
read dependencies[].ref:string
skipped document.aggregate_severity.namespace:string
skipped document.aggregate_severity.text:string
read document.category:string
skipped document.csaf_version:string
skipped document.distribution.text:string
skipped document.distribution.tlp.label:string
skipped document.distribution.tlp.url:string
skipped document.lang:string
skipped document.notes[].category:string
skipped document.notes[].text:string
skipped document.notes[].title:string
skipped document.publisher.category:string
skipped document.publisher.contact_details:string
read document.publisher.name:string
skipped document.publisher.namespace:string
skipped document.references[].category:string
skipped document.references[].summary:string
skipped document.references[].url:string
read document.title:string
skipped document.tracking.current_release_date:string
skipped document.tracking.generator.date:string
skipped document.tracking.generator.engine.name:string
skipped document.tracking.generator.engine.version:string
read document.tracking.id:string
skipped document.tracking.initial_release_date:string
skipped document.tracking.revision_history[].date:string
skipped document.tracking.revision_history[].number:string
skipped document.tracking.revision_history[].summary:string
skipped document.tracking.status:string
skipped document.tracking.version:string
read documentDescribes[]:string
read documentNamespace:string
skipped externalDocumentRefs[].checksum.algorithm:string
skipped externalDocumentRefs[].checksum.checksumValue:string
skipped externalDocumentRefs[].externalDocumentId:string
skipped externalDocumentRefs[].spdxDocument:string
read files[].SPDXID:string
skipped files[].checksums[].algorithm:string
skipped files[].checksums[].checksumValue:string
skipped files[].comment:string
skipped files[].copyrightText:string
skipped files[].fileContributors[]:string
skipped files[].fileName:string
skipped files[].fileTypes[]:string
skipped files[].licenseComments:string
skipped files[].licenseConcluded:string
skipped files[].licenseInfoInFiles[]:string
skipped files[].noticeText:string
skipped formulation[].bom-ref:string
skipped formulation[].components[].bom-ref:string
skipped formulation[].components[].externalReferences[].type:string
skipped formulation[].components[].externalReferences[].url:string
skipped formulation[].components[].hashes[].alg:string
skipped formulation[].components[].hashes[].content:string
skipped formulation[].components[].name:string
skipped formulation[].components[].properties[].name:string
skipped formulation[].components[].properties[].value:string
skipped formulation[].components[].purl:string
skipped formulation[].components[].type:string
skipped formulation[].components[].version:string
skipped hasExtractedLicensingInfos[].extractedText:string
skipped hasExtractedLicensingInfos[].licenseId:string
read metadata.component.bom-ref:string
read metadata.component.components[].name:string
read metadata.component.components[].purl:string
skipped metadata.component.components[].type:string
read metadata.component.components[].version:string
skipped metadata.component.externalReferences[].type:string
skipped metadata.component.externalReferences[].url:string
skipped metadata.component.group:string
skipped metadata.component.licenses[].license.id:string
skipped metadata.component.licenses[].license.url:string
read metadata.component.name:string
skipped metadata.component.properties[].name:string
skipped metadata.component.properties[].value:string
read metadata.component.purl:string
skipped metadata.component.type:string
read metadata.component.version:string
skipped metadata.properties[].name:string
skipped metadata.properties[].value:string
read metadata.timestamp:string
skipped metadata.tools[].externalReferences[].type:string
skipped metadata.tools[].externalReferences[].url:string
skipped metadata.tools[].hashes[].alg:string
skipped metadata.tools[].hashes[].content:string
skipped metadata.tools[].name:string
skipped metadata.tools[].vendor:string
skipped metadata.tools[].version:string
skipped name:string
read packages[].SPDXID:string
skipped packages[].checksums[].algorithm:string
skipped packages[].checksums[].checksumValue:string
skipped packages[].comment:string
skipped packages[].copyrightText:string
skipped packages[].description:string
skipped packages[].downloadLocation:string
skipped packages[].externalRefs[].referenceCategory:string
read packages[].externalRefs[].referenceLocator:string
read packages[].externalRefs[].referenceType:string
skipped packages[].filesAnalyzed:boolean
skipped packages[].hasFiles[]:string
skipped packages[].homepage:string
read packages[].licenseConcluded:string
read packages[].licenseDeclared:string
skipped packages[].licenseInfoFromFiles[]:string
read packages[].name:string
read packages[].originator:string
skipped packages[].packageFileName:string
skipped packages[].packageVerificationCode.packageVerificationCodeValue:string
skipped packages[].primaryPackagePurpose:string
skipped packages[].sourceInfo:string
skipped packages[].summary:string
read packages[].supplier:string
read packages[].versionInfo:string
skipped product_tree.branches[].branches[].branches[].category:string
skipped product_tree.branches[].branches[].branches[].name:string
read product_tree.branches[].branches[].branches[].product.name:string
read product_tree.branches[].branches[].branches[].product.product_id:string
skipped product_tree.branches[].branches[].branches[].product.product_identification_helper.cpe:string
read product_tree.branches[].branches[].branches[].product.product_identification_helper.purl:string
skipped product_tree.branches[].branches[].category:string
skipped product_tree.branches[].branches[].name:string
read product_tree.branches[].branches[].product.name:string
read product_tree.branches[].branches[].product.product_id:string
skipped product_tree.branches[].branches[].product.product_identification_helper.cpe:string
skipped product_tree.branches[].category:string
skipped product_tree.branches[].name:string
skipped product_tree.relationships[].category:string
read product_tree.relationships[].full_product_name.name:string
read product_tree.relationships[].full_product_name.product_id:string
read product_tree.relationships[].full_product_name.product_identification_helper.purl:string
read product_tree.relationships[].product_reference:string
skipped product_tree.relationships[].relates_to_product_reference:string
skipped relationships[].comment:string
read relationships[].relatedSpdxElement:string
read relationships[].relationshipType:string
read relationships[].spdxElementId:string
skipped role:string
read serialNumber:string
skipped services[].authenticated:boolean
skipped services[].bom-ref:string
skipped services[].data[].classification:string
skipped services[].data[].flow:string
skipped services[].description:string
skipped services[].endpoints[]:string
skipped services[].externalReferences[].type:string
skipped services[].externalReferences[].url:string
skipped services[].group:string
skipped services[].name:string
skipped services[].provider.name:string
skipped services[].provider.url[]:string
skipped services[].services[].authenticated:boolean
skipped services[].services[].bom-ref:string
skipped services[].services[].data[].classification:string
skipped services[].services[].data[].flow:string
skipped services[].services[].description:string
skipped services[].services[].endpoints[]:string
skipped services[].services[].externalReferences[].type:string
skipped services[].services[].externalReferences[].url:string
skipped services[].services[].group:string
skipped services[].services[].name:string
skipped services[].services[].provider.name:string
skipped services[].services[].provider.url[]:string
skipped services[].services[].version:string
skipped services[].services[].x-trust-boundary:boolean
skipped services[].version:string
skipped services[].x-trust-boundary:boolean
read spdxVersion:string
read specVersion:string
read statements[].impact_statement:string
read statements[].justification:string
read statements[].products[].@id:string
read statements[].status:string
read statements[].vulnerability.name:string
skipped timestamp:string
skipped version:number
skipped vulnerabilities[].advisories[].url:string
skipped vulnerabilities[].affects[].ref:string
skipped vulnerabilities[].affects[].versions[].status:string
skipped vulnerabilities[].affects[].versions[].version:string
read vulnerabilities[].cve:string
skipped vulnerabilities[].cwe.id:string
skipped vulnerabilities[].cwe.name:string
skipped vulnerabilities[].cwes[]:number
skipped vulnerabilities[].description:string
skipped vulnerabilities[].discovery_date:string
read vulnerabilities[].flags[].label:string
read vulnerabilities[].flags[].product_ids[]:string
skipped vulnerabilities[].id:string
skipped vulnerabilities[].ids[].system_name:string
read vulnerabilities[].ids[].text:string
skipped vulnerabilities[].notes[].category:string
skipped vulnerabilities[].notes[].text:string
skipped vulnerabilities[].notes[].title:string
read vulnerabilities[].product_status.fixed[]:string
read vulnerabilities[].product_status.known_affected[]:string
read vulnerabilities[].product_status.known_not_affected[]:string
read vulnerabilities[].product_status.recommended[]:string
skipped vulnerabilities[].published:string
skipped vulnerabilities[].ratings[].method:string
skipped vulnerabilities[].ratings[].score:number
skipped vulnerabilities[].ratings[].severity:string
skipped vulnerabilities[].ratings[].source.name:string
skipped vulnerabilities[].ratings[].vector:string
skipped vulnerabilities[].references[].category:string
skipped vulnerabilities[].references[].summary:string
skipped vulnerabilities[].references[].url:string
skipped vulnerabilities[].remediations[].category:string
skipped vulnerabilities[].remediations[].date:string
read vulnerabilities[].remediations[].details:string
read vulnerabilities[].remediations[].product_ids[]:string
skipped vulnerabilities[].remediations[].url:string
skipped vulnerabilities[].scores[].cvss_v3.baseScore:number
skipped vulnerabilities[].scores[].cvss_v3.baseSeverity:string
skipped vulnerabilities[].scores[].cvss_v3.vectorString:string
skipped vulnerabilities[].scores[].cvss_v3.version:string
skipped vulnerabilities[].scores[].products[]:string
skipped vulnerabilities[].source.name:string
skipped vulnerabilities[].source.url:string
skipped vulnerabilities[].threats[].category:string
skipped vulnerabilities[].threats[].date:string
read vulnerabilities[].threats[].details:string
read vulnerabilities[].threats[].product_ids[]:string
skipped vulnerabilities[].title:string
skipped vulnerabilities[].updated:string
